id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_clase_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,Escalera,id_planta_agrupado,id_local_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra
1347,270051471,1,CENTRO              ,106,SOL                 ,11007285,1,531200,CALLE                   ,NAVAS DE TOLOSA                                   ,NUM,7,28013,44001859,447451553,1,Puerta Calle,1,Abierto,20,NA,PB,NA,NA,NA,MESON VIÑA T                                      ,1,Anual,1,Abierta,656,656,42023,11007285,1,531200,CALLE                   ,NAVAS DE TOLOSA                                   ,NUM,7,  ,Calle peatonal,0.375,0.979166667,0.375,0.958333333,0.375,0.041666667,0.375,0.958333333,0,0,4,4,8,NA
1349,285002026,1,CENTRO              ,102,EMBAJADORES         ,11002143,1,88904493,CALLE                   ,EMBAJADORES                                       ,NUM,41,28012,0,0,0,Agrupado,1,Abierto,0,NA,PB,EX2,44029559,447324653,CARMEN / EXT. 2-3,1,Anual,1,Abierta,1296,1296,42023,20147540,1,727000,CALLE                   ,SOMBRERETE                                        ,NUM,17,  ,Calle peatonal,0.416666667,0.041666667,0.416666667,0.958333333,0.416666667,0.104166667,0.416666667,0.958333333,0,0,4,4,16,NA
1350,270512052,1,CENTRO              ,104,JUSTICIA            ,11005134,1,692300,PLAZA                   ,SANTA BARBARA                                     ,NUM,4,28004,44093659,447545152,1,Puerta Calle,1,Abierto,30,NA,PB,NA,NA,NA,SANTANDER CAFETERIA,1,Anual,1,Abierta,2682,2682,42024,11005134,1,692300,PLAZA                   ,SANTA BARBARA                                     ,NUM,4,  ,Acera,0.416666667,0.041666667,0.416666667,0.958333333,0.416666667,0.104166667,0.416666667,0.958333333,0,0,13,13,35,NA
1351,270440037,1,CENTRO              ,101,PALACIO             ,11000527,1,158800,CALLE                   ,CAVA DE SAN MIGUEL                                ,NUM,8,28005,43991259,447401553,1,Puerta Calle,1,Abierto,10,NA,PB,NA,NA,NA,MAESTRO VILLA VINOTECA,1,Anual,1,Abierta,2592,2592,42024,20104707,1,454500,CALLE                   ,MAESTRO VILLA                                     ,NUM,2,  ,Calle peatonal,0.416666667,0.020833333,0,0.958333333,0.416666667,0.083333333,0,0.958333333,0,0,8,8,32,NA
1352,280011713,1,CENTRO              ,106,SOL                 ,11007657,1,743600,CALLE                   ,TOLEDO                                            ,NUM,19,28005,43998159,447397653,1,Puerta Calle,1,Abierto,10,NA,PB,NA,NA,NA,FIVE GUYS,1,Anual,1,Abierta,1494,1494,42024,20006876,1,372100,CALLE                   ,IMPERIAL                                          ,NUM,11,  ,Acera,0.416666667,0.041666667,0.416666667,0.958333333,0.416666667,0.104166667,0.416666667,0.972222222,0,0,6,6,19,NA
1354,280007639,1,CENTRO              ,101,PALACIO             ,11000774,1,159900,CALLE                   ,CEBADA                                            ,NUM,7,28005,43975259,447357853,1,Puerta Calle,1,Abierto,10,NA,PB,NA,NA,NA,BAR RESTAURANTE URUMEA II,1,Anual,1,Abierta,2124,2124,42024,11000774,1,159900,CALLE                   ,CEBADA                                            ,NUM,7,  ,Plaza con bandas permanentes de circulación rodada,0.416666667,0.041666667,0.416666667,0.958333333,0.416666667,0.104166667,0.416666667,0.958333333,0,0,6,6,24,NA
1355,270414642,6,TETUAN              ,602,CUATRO CAMINOS      ,11030007,1,550500,CALLE                   ,ORENSE                                            ,NUM,39,28020,4410646,447835053,1,Puerta Calle,1,Abierto,20,NA,PB,NA,NA,NA,LA BODEGUITA DE ORENSE,1,Anual,1,Abierta,423,423,42024,11030007,1,550500,CALLE                   ,ORENSE                                            ,NUM,39,  ,Acera,0.416666667,0.041666667,0.416666667,0,0.416666667,0.083333333,0.416666667,0,0,0,5,5,10,NA
1356,280012590,1,CENTRO              ,101,PALACIO             ,11000250,1,73700,CALLE                   ,ARRIETA                                           ,NUM,2,28013,0,0,3,Interior,1,Abierto,0,NA,1,NA,NA,NA,LA PAELLA REAL,1,Anual,1,Abierta,2784,2784,42026,11000250,1,73700,CALLE                   ,ARRIETA                                           ,NUM,2,  ,Acera,0.416666667,0.041666667,0.416666667,0.958333333,0.416666667,0.104166667,0.416666667,0.958333333,0,0,9,9,36,NA
1357,270525090,1,CENTRO              ,102,EMBAJADORES         ,11002785,1,83000,CALLE                   ,AVE MARIA                                         ,NUM,39,28012,44053059,447346053,1,Puerta Calle,1,Abierto,20,NA,PB,NA,NA,NA,TABERNA LA INQUILINA,1,Anual,1,Abierta,468,468,42026,11002785,1,83000,CALLE                   ,AVE MARIA                                         ,NUM,39,  ,Acera,0.416666667,0.020833333,0.416666667,0.958333333,0.416666667,0.083333333,0.416666667,0.958333333,0,0,2,2,6,NA
1358,270322319,1,CENTRO              ,106,SOL                 ,11007811,1,497800,CALLE                   ,MAYOR                                             ,NUM,24,28013,44000359,447420653,1,Puerta Calle,1,Abierto,10,NA,PB,NA,NA,NA,LE ROLLERIE,1,Anual,1,Abierta,1296,1296,42026,11007820,1,200600,CALLE                   ,COLOREROS                                         ,NUM,3,  ,Plaza peatonal,0.416666667,0.020833333,0.416666667,0.958333333,0.416666667,0.083333333,0.416666667,0.958333333,0,0,4,4,16,NA
